,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,W,Season
50,DAL,1918,351,2884,7122,0.447,3182,2076,0.742,1541,82,19780,Dallas Mavericks,832,2011,368,2840,7315,0.459,3357,1802,0.777,1400,836,1905,9032,643,2667,0.344,918,3676,1065,4648,0.525,2439,1650,8927,21,533,3002,0.34,1022,3716,1167,4120,0.524,2160,33,2018-2019
51,IND,2128,404,2766,7135,0.475,3390,1727,0.752,1298,82,19705,Indiana Pacers,762,2006,425,2718,7059,0.45,3177,1718,0.756,1298,862,1642,8584,608,2633,0.354,932,3580,1284,4426,0.507,2245,1594,8857,22,713,2081,0.374,779,3528,1122,5054,0.517,2611,48,2018-2019
52,PHO,1957,418,2563,7164,0.459,3289,1858,0.779,1447,82,19880,Phoenix Suns,748,2126,411,2897,7230,0.482,3482,2263,0.753,1705,971,1694,9581,737,2454,0.372,912,3868,1285,4776,0.538,2570,1932,8815,23,735,2400,0.329,790,3311,1279,4764,0.525,2499,19,2018-2019
53,ORL,2095,445,2902,7307,0.454,3316,1575,0.782,1231,82,19780,Orlando Magic,822,1892,362,2922,7185,0.456,3274,1717,0.778,1336,739,1537,8742,575,2475,0.347,858,3661,1064,4710,0.513,2416,1526,8800,24,543,2633,0.356,937,3724,1082,4674,0.509,2379,42,2018-2019
54,DET,1845,331,2752,7238,0.44,3185,1893,0.747,1415,82,19855,Detroit Pistons,936,1940,419,2834,6969,0.469,3271,1947,0.755,1470,747,1748,8798,566,2278,0.345,786,3581,1153,4691,0.53,2485,1811,8778,25,569,2854,0.348,993,3688,1135,4384,0.5,2192,41,2018-2019
55,MIA,1991,448,2879,7218,0.45,3251,1782,0.695,1238,82,19730,Miami Heat,921,1913,389,2792,7116,0.441,3141,1861,0.769,1432,831,1652,8687,612,2717,0.358,973,3623,1159,4399,0.493,2168,1712,8668,26,627,2658,0.349,928,3800,1208,4560,0.509,2323,39,2018-2019
56,CHI,1796,351,2799,7205,0.453,3266,1695,0.783,1328,82,19905,Chicago Bulls,718,2094,473,2984,7316,0.473,3464,1805,0.763,1377,824,1534,9295,600,2709,0.365,990,3808,1092,4607,0.537,2474,1663,8605,27,603,2123,0.351,745,3517,1159,5082,0.496,2521,22,2018-2019
57,NYK,1646,422,2811,7241,0.433,3134,1956,0.759,1484,82,19780,New York Knicks,857,2098,458,3016,7352,0.467,3434,1948,0.766,1493,881,1708,9330,607,2673,0.363,969,3897,1084,4679,0.527,2465,1713,8575,28,557,2421,0.34,823,3668,1151,4820,0.479,2311,17,2018-2019
58,CLE,1698,195,2619,7184,0.444,3189,1694,0.792,1342,82,19755,Cleveland Cavaliers,879,2107,459,2835,7148,0.495,3539,1680,0.77,1293,782,1592,9355,568,2590,0.38,984,3617,1022,4558,0.561,2555,1642,8567,29,534,2388,0.355,847,3498,1106,4796,0.488,2342,19,2018-2019
59,MEM,1963,448,2703,6924,0.45,3113,1882,0.772,1453,82,19880,Memphis Grizzlies,723,1920,402,2883,6836,0.451,3083,2023,0.784,1586,781,1758,8703,625,2639,0.36,951,3664,1249,4197,0.508,2132,1801,8490,30,684,2368,0.342,811,3426,1147,4556,0.505,2302,33,2018-2019
60,DAL,1640,334,2438,6027,0.462,2787,1548,0.773,1196,67,16180,Dallas Mavericks,712,1592,269,2324,6110,0.454,2775,1385,0.757,1048,713,1393,7391,474,2298,0.345,793,3037,818,3812,0.52,1982,1276,7796,1,419,2779,0.369,1026,3150,857,3248,0.542,1761,40,2019-2020
61,MIL,1685,390,2745,5928,0.477,2830,1562,0.742,1159,65,15650,Milwaukee Bucks,617,1547,297,2358,6097,0.413,2518,1339,0.784,1050,613,1386,6978,481,2509,0.356,892,2971,929,3588,0.453,1626,1247,7712,2,480,2510,0.356,893,3362,969,3418,0.567,1937,53,2019-2020
62,HOU,1375,329,2212,5803,0.454,2632,1664,0.787,1310,64,15435,Houston Rockets,663,1619,315,2299,5853,0.461,2700,1493,0.761,1136,712,1329,7320,505,2250,0.348,784,3011,1012,3603,0.532,1916,1382,7560,3,541,2832,0.348,986,2875,939,2971,0.554,1646,40,2019-2020
63,POR,1333,411,2335,5998,0.461,2763,1434,0.798,1145,66,15890,Portland Trail Blazers,666,1633,331,2355,6081,0.451,2744,1606,0.773,1242,780,1302,7606,452,2326,0.377,876,3135,840,3755,0.497,1868,1412,7500,4,401,2228,0.372,829,3001,858,3770,0.513,1934,29,2019-2020
64,ATL,1605,341,2237,6067,0.449,2723,1566,0.79,1237,67,16280,Atlanta Hawks,661,1674,428,2402,6078,0.478,2903,1839,0.772,1419,748,1404,8022,600,2194,0.363,797,3150,1006,3884,0.542,2106,1548,7488,5,523,2416,0.333,805,2898,1086,3651,0.525,1918,20,2019-2020
65,NOP,1728,328,2290,5902,0.462,2729,1485,0.729,1082,64,15510,New Orleans Pelicans,719,1576,309,2245,5903,0.465,2747,1563,0.782,1223,641,1318,7489,549,2172,0.355,772,2886,927,3731,0.529,1975,1345,7436,6,486,2409,0.372,896,3009,1038,3493,0.525,1833,28,2019-2020
66,LAC,1526,318,2368,5739,0.464,2664,1679,0.792,1330,64,15435,Los Angeles Clippers,701,1508,314,2216,5776,0.436,2520,1589,0.762,1211,695,1460,7019,503,2255,0.341,768,2911,908,3521,0.498,1752,1411,7436,7,456,2123,0.366,778,3069,946,3616,0.522,1886,44,2019-2020
67,WAS,1621,273,2024,5821,0.461,2682,1584,0.787,1247,64,15435,Washington Wizards,644,1618,323,2282,5672,0.49,2778,1686,0.772,1302,680,1435,7658,481,2119,0.378,800,2962,1044,3553,0.557,1978,1445,7399,8,519,2117,0.372,788,2668,900,3704,0.511,1894,24,2019-2020
68,MEM,1757,363,2357,5913,0.47,2779,1384,0.761,1053,65,15625,Memphis Grizzlies,679,1615,347,2242,5897,0.45,2653,1595,0.786,1254,680,1283,7391,514,2287,0.363,831,2922,947,3610,0.505,1822,1354,7321,9,520,2019,0.352,710,3036,992,3894,0.531,2069,32,2019-2020
69,PHO,1766,261,2163,5709,0.464,2650,1560,0.826,1289,65,15675,Phoenix Suns,637,1545,367,2236,5668,0.475,2691,1605,0.781,1254,600,1485,7405,529,2090,0.368,769,2836,1037,3578,0.537,1922,1439,7316,10,507,2061,0.353,727,2800,980,3648,0.527,1923,26,2019-2020
70,MIA,1689,291,2343,5486,0.47,2576,1633,0.778,1270,65,15825,Miami Heat,552,1606,275,2146,5653,0.447,2526,1512,0.776,1174,595,1400,7080,490,2469,0.346,854,2741,888,3184,0.525,1672,1323,7290,11,480,2265,0.383,868,2895,968,3221,0.53,1708,41,2019-2020
71,MIN,1525,362,2193,5865,0.441,2586,1624,0.753,1223,64,15560,Minnesota Timberwolves,675,1560,355,2383,5786,0.477,2760,1613,0.783,1263,647,1383,7523,499,2040,0.363,740,3030,992,3746,0.539,2020,1370,7248,12,555,2540,0.336,853,2868,981,3325,0.521,1733,19,2019-2020
72,BOS,1459,358,2259,5735,0.459,2634,1461,0.801,1170,64,15485,Boston Celtics,683,1420,356,2179,5554,0.442,2453,1546,0.761,1177,655,1318,6837,446,2206,0.342,754,2834,981,3348,0.507,1699,1368,7232,13,529,2190,0.363,794,2942,873,3545,0.519,1840,43,2019-2020
73,TOR,1624,316,2275,5665,0.458,2596,1448,0.8,1159,64,15460,Toronto Raptors,618,1639,339,2247,5661,0.429,2428,1472,0.768,1131,714,1277,6818,451,2463,0.337,831,2961,1077,3198,0.499,1597,1376,7231,14,565,2369,0.371,880,2893,924,3296,0.521,1716,46,2019-2020
74,LAL,1630,430,2239,5579,0.485,2704,1496,0.73,1092,63,15170,Los Angeles Lakers,668,1464,235,2049,5527,0.444,2456,1439,0.774,1114,616,1350,6736,514,2076,0.342,710,2665,986,3451,0.506,1746,1299,7203,15,541,1981,0.355,703,2907,951,3598,0.556,2001,49,2019-2020
75,DEN,1724,302,2179,5778,0.471,2719,1330,0.775,1031,65,15750,Denver Nuggets,699,1626,292,2134,5606,0.459,2571,1437,0.756,1087,651,1299,6984,464,2183,0.346,755,2785,931,3423,0.531,1816,1303,7176,16,529,1977,0.358,707,2878,890,3801,0.529,2012,43,2019-2020
76,SAS,1546,345,2244,5638,0.47,2649,1434,0.809,1160,63,15295,San Antonio Spurs,555,1621,275,2287,5661,0.469,2657,1428,0.77,1099,590,1239,7240,424,2197,0.376,827,2877,817,3464,0.528,1830,1212,7129,17,454,1809,0.371,671,2799,773,3829,0.517,1978,27,2019-2020
77,PHI,1682,349,2282,5701,0.465,2651,1435,0.752,1079,65,15675,Philadelphia 76ers,673,1475,251,2166,5564,0.462,2571,1579,0.742,1172,556,1320,6979,452,1881,0.354,665,2722,913,3683,0.518,1906,1342,7123,18,531,2052,0.362,742,2955,923,3649,0.523,1909,39,2019-2020
